"STATION","NAME","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT16","WT16_ATTRIBUTES"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-13","0.1",",,W","0.0",",,0,2400",,,"23.9",",,0","9.4",",,0","    1",",,W",,,,,,,"    1",",,W",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-14","0.5",",,W","0.0",",,0,2400",,,"27.2",",,0","11.1",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-15","0.2",",,W","0.0",",,0,2400",,,"27.8",",,0","13.9",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-16","0.6",",,W","0.0",",,0,2400",,,"28.9",",,0","13.9",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-17","0.5",",,W","0.0",",,0,2400",,,"26.7",",,0","12.8",",,0",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-18","0.4",",,W","0.0",",,0,2400",,,"20.6",",,0","13.3",",,0","    1",",,W","    1",",,X",,,"    1",",,0","    1",",,X","    1",",,0","    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-19","0.8",",,W","2.3",",,0,2400",,,"17.8",",,0","12.2",",,0",,,,,"    1",",,0","    1",",,0","    1",",,X",,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-20","0.6",",,W","1.3",",,0,2400",,,"17.8",",,0","11.1",",,0",,,,,,,,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-21","1.3",",,W","0.8",",,0,2400",,,"18.3",",,0","12.2",",,0","    1",",,W",,,,,,,"    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-22","1.0",",,W","0.0","T,,0,2400",,,"21.1",",,0","11.1",",,0","    1",",,W",,,,,,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-23","0.6",",,W","0.0",",,0,2400",,,"20.6",",,0","8.3",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-24","0.5",",,W","0.3",",,0,2400",,,"18.9",",,0","11.7",",,0","    1",",,W",,,"    1",",,0","    1",",,0","    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-25","0.5",",,W","0.0",",,0,2400",,,"21.1",",,0","11.7",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-26","0.8",",,W","0.0",",,0,2400",,,"23.9",",,0","13.3",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-27","1.3",",,W","20.3",",,0,2400",,,"17.2",",,0","11.1",",,0","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-02-28","0.6",",,W","0.0",",,0,2400",,,"20.0",",,0","8.3",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-01","0.5",",,W","0.0",",,0,2400",,,"21.7",",,0","11.1",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-02","0.5",",,W","0.0",",,0,2400",,,"19.4",",,0","13.3",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-03","0.9",",,W","1.5",",,0,2400",,,"18.9",",,0","12.2",",,0","    1",",,W",,,"    1",",,0",,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-04","0.6",",,W","0.0","T,,0,2400",,,"17.8",",,0","9.4",",,0",,,,,"    1",",,0",,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-05","0.8",",,W","0.0",",,0,2400",,,"20.0",",,0","9.4",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-06","0.9",",,W","10.7",",,0,2400",,,"16.7",",,0","11.1",",,0","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-07","0.5",",,W","0.0","T,,0,2400",,,"18.9",",,0","10.0",",,0",,,,,"    1",",,0",,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-08","0.9",",,W","0.0",",,0,2400",,,"18.9",",,0","12.2",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-09","2.0",",,W","0.0",",,0,2400",,,"16.7",",,0","9.4",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-10","1.8",",,W","0.0",",,0,2400",,,"17.8",",,0","10.0",",,0",,,,,,,,,"    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-11","0.5",",,W","0.0",",,0,2400",,,"20.0",",,0","8.3",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-12","0.5",",,W","0.0",",,0,2400",,,"21.7",",,0","9.4",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-13","0.4",",,W","0.0",",,0,2400",,,"18.9",",,0","11.1",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-14","0.4",",,W","0.0",",,0,2400",,,"21.7",",,0","9.4",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-15","0.5",",,W","0.0",",,0,2400",,,"27.8",",,0","9.4",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-16","1.1",",,W","0.0",",,0,2400",,,"31.1",",,0","14.4",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-17","0.7",",,W","0.0",",,0,2400",,,"30.6",",,0","16.1",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-18","0.9",",,W","0.0",",,0,2400",,,"25.6",",,0","15.0",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-19","0.4",",,W","0.0",",,0,2400",,,"23.3",",,0","12.8",",,0",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-20","0.6",",,W","0.0",",,0,2400",,,"27.2",",,0","12.2",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-21","0.2",",,W","0.0",",,0,2400",,,"26.7",",,0","11.1",",,0","    1",",,W","    1",",,W",,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-22","0.4",",,W","0.0",",,0,2400",,,"22.2",",,0","11.7",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-23","0.9",",,W","0.0",",,0,2400",,,"22.8",",,0","13.9",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-24","0.5",",,W","0.0",",,0,2400",,,"23.9",",,0","12.8",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-25","0.7",",,W","0.0",",,0,2400",,,"19.4",",,0","12.8",",,0",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-26","1.1",",,W","0.0",",,0,2400",,,"22.8",",,0","11.7",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-27","0.3",",,W","0.0",",,0,2400",,,"28.3",",,0","11.7",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-28","1.0",",,W","0.0",",,0,2400",,,"29.4",",,0","14.4",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-29","0.7",",,W","0.0",",,0,2400",,,"27.2",",,0","13.9",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-30","1.2",",,W","0.0",",,0,2400",,,"20.0",",,0","14.4",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-03-31","0.9",",,W","0.0",",,0,2400",,,"18.9",",,0","11.7",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-01","1.1",",,W","0.0","T,,0,2400",,,"17.8",",,0","10.0",",,0",,,,,"    1",",,0",,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-02","1.1",",,W","0.0",",,0,2400",,,"20.6",",,0","11.1",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-03","0.9",",,W","0.0",",,0,2400",,,"21.1",",,0","11.7",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-04","1.0",",,W","0.8",",,0,2400",,,"18.3",",,0","11.7",",,0","    1",",,W",,,"    1",",,0",,,"    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-05","2.0",",,W","14.5",",,0,2400",,,"17.8",",,0","11.7",",,0","    1",",,X",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-06","0.5",",,W","0.0",",,0,2400",,,"22.2",",,0","9.4",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-07","0.9",",,W","0.0",",,0,2400",,,"27.8",",,0","11.1",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-08","0.8",",,W","0.0",",,0,2400",,,"28.9",",,0","14.4",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-09","0.9",",,W","0.0",",,0,2400",,,"24.4",",,0","13.9",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-10","0.4",",,W","0.0",",,0,2400",,,"19.4",",,0","13.9",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-11","1.9",",,W","18.3",",,0,2400",,,"17.8",",,0","12.2",",,0","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-12","1.4",",,W","4.8",",,0,2400",,,"18.3",",,0","11.1",",,0","    1",",,W",,,"    1",",,0",,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-13","0.6",",,W","0.0",",,0,2400",,,"19.4",",,0","10.0",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-14","0.7",",,W","0.0",",,0,2400",,,"21.1",",,0","11.1",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-15","0.8",",,W","0.0",",,0,2400",,,"22.8",",,0","11.7",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-16","0.8",",,W","0.0",",,0,2400",,,"22.2",",,0","12.2",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-17","0.6",",,W","0.0",",,0,2400",,,"24.4",",,0","12.8",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-18","0.9",",,W","0.0",",,0,2400",,,"24.4",",,0","12.8",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-19","0.8",",,W","0.0",",,0,2400",,,"22.8",",,0","14.4",",,0",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-20","1.0",",,W","2.8",",,0,2400",,,"20.0",",,0","11.1",",,0","    1",",,W",,,"    1",",,0",,,"    1",",,W",,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-21","1.8",",,W","0.0","T,,0,2400",,,"17.2",",,0","8.9",",,0",,,,,,,,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-22","0.5",",,W","0.0","T,,0,2400",,,"16.1",",,0","9.4",",,0",,,,,,,,,,,,,,,"    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-23","0.6",",,W","0.0",",,0,2400",,,"20.6",",,0","9.4",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-24","0.6",",,W","0.0",",,0,2400",,,"21.1",",,0","12.8",",,0",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-25","0.6",",,W","0.0",",,0,2400",,,"23.9",",,0","12.2",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-26","0.9",",,W","0.0",",,0,2400",,,"22.8",",,0","12.8",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-27","0.5",",,W","0.3",",,0,2400",,,"19.4",",,0","14.4",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-28","1.4",",,W","0.5",",,0,2400",,,"19.4",",,0","13.9",",,0","    1",",,W",,,,,,,,,,,"    1",",,X","    1",",,X"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-29","3.2",",,W","0.0",",,0,2400",,,"21.1",",,0","12.8",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-04-30","1.8",",,W","0.0",",,0,2400",,,"23.9",",,0","12.8",",,0",,,,,,,,,"    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-01","1.1",",,W","0.0",",,0,2400",,,"22.8",",,0","13.3",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-02","1.3",",,W","0.0",",,0,2400",,,"23.3",",,0","15.0",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-03","0.6",",,W","0.0",",,0,2400",,,"27.2",",,0","13.9",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-04","0.5",",,W","0.0",",,0,2400",,,"26.1",",,0","13.9",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-05","0.5",",,W","0.0",",,0,2400",,,"23.3",",,0","15.0",",,0","    1",",,W",,,,,"    1",",,0","    1",",,X",,,"    1",",,X",,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-06","0.6",",,W","0.0",",,0,2400",,,"23.9",",,0","14.4",",,0",,,,,,,"    1",",,0","    1",",,X",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-07","0.5",",,W","0.0",",,0,2400",,,"26.1",",,0","14.4",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-08","0.7",",,W","0.0",",,0,2400",,,"25.0",",,0","15.0",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-09","0.9",",,W","0.0",",,0,2400",,,"20.0",",,0","13.9",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-10","1.4",",,W","0.0",",,0,2400",,,"20.6",",,0","12.8",",,0",,,,,,,,,"    1",",,W",,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-11","1.4",",,W","0.0",",,0,2400",,,"20.6",",,0","11.7",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-12","0.6",",,W","0.0",",,0,2400",,,"23.3",",,0","12.8",",,0",,,,,,,,,,,,,,,,
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2010-05-13","0.5",",,W","0.0",",,0,2400",,,"24.4",",,0","14.4",",,0",,,,,,,,,,,,,,,,
