"STATION","NAME","DATE","TAVG"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-19","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-20","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-21","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-22","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-23","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-24","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-25","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-26","56"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-27","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-28","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-29","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-30","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-03-31","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-01","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-02","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-03","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-04","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-05","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-06","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-07","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-08","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-09","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-10","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-11","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-12","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-13","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-14","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-15","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-16","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-17","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-18","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-19","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-20","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-21","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-22","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-23","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-24","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-25","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-26","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-27","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-28","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-29","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-04-30","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-01","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-02","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-03","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-04","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-05","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-06","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-07","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-08","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-09","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-10","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-11","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-12","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-13","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-14","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-15","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-16","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-17","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-18","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-19","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-20","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-21","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-22","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-23","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-24","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-25","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-26","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-27","71"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-28","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-29","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-30","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-05-31","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-01","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-02","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-03","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-04","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-05","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-06","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-07","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-08","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-09","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-10","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-11","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-12","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-13","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-14","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-15","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-16","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-17","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-18","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-19","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-20","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-21","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-22","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-23","72"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-24","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-25","73"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-26","72"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-27","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-28","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-29","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-06-30","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-01","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-02","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-03","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-04","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-05","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-06","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-07","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-08","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-09","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-10","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-11","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-12","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-13","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-14","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-15","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-16","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-17","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-18","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-19","71"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-20","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-21","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-22","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-23","72"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-24","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-25","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-26","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-27","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-28","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-29","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-30","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-07-31","75"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-01","74"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-02","73"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-03","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-04","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-05","71"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-06","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-07","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-08","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-09","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-10","72"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-11","73"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-12","71"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-13","71"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-14","72"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-15","73"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-16","76"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-17","77"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-18","74"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-19","72"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-20","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-21","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-22","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-23","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-24","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-25","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-26","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-27","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-28","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-29","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-30","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-08-31","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-01","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-02","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-03","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-04","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-05","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-06","72"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-07","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-08",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-09","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-10","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-11","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-12","79"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-13","77"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-14","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-15","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-16","73"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-17","75"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-18","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-19","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-20","72"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-21","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-22","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-23","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-24","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-25","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-26","70"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-27","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-28","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-29","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-09-30","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-01","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-02","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-03","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-04","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-05","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-06","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-07","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-08","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-09","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-10","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-11","57"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-12","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-13","55"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-14","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-15","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-16","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-17","69"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-18","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-19","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-20","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-21","67"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-22","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-23","68"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-24","66"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-25","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-26","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-27","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-28","62"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-29","61"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-30","58"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-10-31","60"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-11-01","59"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-11-02","63"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-11-03","65"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-11-04","64"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2000-11-05","61"
